asin,productName,oldPrice,price,imageUrl,prime,productUrl,rating,sponsored
B0BXQ6NRRN,"LEGO Harry Potter Hogwarts Castle and Grounds 76419 Building Set, Gift Idea for Adults, Buildable Display Model, Collectible Harry Potter Playset, Recreate Iconic Scenes from The Wizarding World",,$169.99,https://m.media-amazon.com/images/I/813B5OrhLSL._AC_UY218_.jpg,True,/sspa/click?ie=UTF8&spc=MToxNjY1NjkzMzY2NDg5NjI3OjE2OTUxODg4Mjc6c3BfYXRmOjMwMDA0MzUxOTM0NTEwMjo6MDo6&url=%2FLEGO-Hogwarts-Buildable-Collectible-Wizarding%2Fdp%2FB0BXQ6NRRN%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dharry%2Bpotter%26qid%3D1695188827%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.3 out of 5 stars,True
B09JKWBJ7F,"LEGO Harry Potter Hogwarts Magical Trunk 76399 Luggage Set, Summer Toys, Building Toy Idea for Outdoor Play for Kids, Girls & Boys with Movie Minifigures and House Colors",$64.99,$45.99,https://m.media-amazon.com/images/I/8180RAHgRgL._AC_UY218_.jpg,True,/sspa/click?ie=UTF8&spc=MToxNjY1NjkzMzY2NDg5NjI3OjE2OTUxODg4Mjc6c3BfYXRmOjIwMDEzOTk2OTg5MDQ5ODo6MDo6&url=%2FLEGO-Potter-Hogwarts-Magical-Building-Pieces%2Fdp%2FB09JKWBJ7F%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dharry%2Bpotter%26qid%3D1695188827%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.8 out of 5 stars,True
B00AP06III,Harry Potter and the Sorcerer's Stone,,$3.99,https://m.media-amazon.com/images/I/71WKvIYkKHL._AC_UY218_.jpg,False,/Harry-Potter-Sorcerers-Daniel-Radcliffe/dp/B00AP06III/ref=sr_1_3?keywords=harry+potter&qid=1695188827&sr=8-3,4.8 out of 5 stars,False
B09RRZXMWC,Harry Potter Loteria | Traditional Loteria Mexicana Game of Chance | Bingo Style Game Featuring Custom Artwork & Illustrations from Harry Potter Films | Inspired by Spanish Words & Mexican Culture,,$19.99,https://m.media-amazon.com/images/I/91wBJm4F-XL._AC_UY218_.jpg,True,/Traditional-Mexicana-Featuring-Illustrations-Inspired/dp/B09RRZXMWC/ref=sr_1_4?keywords=harry+potter&qid=1695188827&sr=8-4,4.9 out of 5 stars,False
B00271HTLI,Harry Potter And The Prisoner Of Azkaban,,$3.99,https://m.media-amazon.com/images/I/91yAV0OLZVL._AC_UY218_.jpg,False,/Potter-Prisoner-Azkaban-Daniel-Radcliffe/dp/B00271HTLI/ref=sr_1_5?keywords=harry+potter&qid=1695188827&sr=8-5,4.9 out of 5 stars,False
B07F1HGJPP,"Tervis Harry Potter - 20th Anniversary Triple Walled Insulated Tumbler Travel Cup Keeps Drinks Cold & Hot, 30oz, Stainless Steel",,$32.39,https://m.media-amazon.com/images/I/71m-pLuPVxL._AC_UL320_.jpg,True,/Tervis-1295915-Potter-20Th-Anniversary-Insulated/dp/B07F1HGJPP/ref=sxin_14_recs_zoco_bs?content-id=amzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7%3Aamzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7&cv_ct_cx=harry+potter&keywords=harry+potter&pd_rd_i=B07F1HGJPP&pd_rd_r=6c95d899-74d1-4cc2-9b73-a45c48ea38f4&pd_rd_w=3gOLt&pd_rd_wg=xRC4o&pf_rd_p=6026a306-5198-4a2b-abec-e28b08c02cb7&pf_rd_r=YWZA3N5Y6T03477RTTET&qid=1695188827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-517d4988-76e4-4a45-96c1-e9f46edd7a85,4.8 out of 5 stars,False
B078T2JYDF,"Tervis Harry Potter - Group Charms Tumbler with Wrap and Black Lid 10oz Wavy, Clear",$18.99,$16.99,https://m.media-amazon.com/images/I/615Z-IbwXnL._AC_UL320_.jpg,True,/Tervis-1267925-Harry-Potter-Tumbler/dp/B078T2JYDF/ref=sxin_14_recs_zoco_bs?content-id=amzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7%3Aamzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7&cv_ct_cx=harry+potter&keywords=harry+potter&pd_rd_i=B078T2JYDF&pd_rd_r=6c95d899-74d1-4cc2-9b73-a45c48ea38f4&pd_rd_w=3gOLt&pd_rd_wg=xRC4o&pf_rd_p=6026a306-5198-4a2b-abec-e28b08c02cb7&pf_rd_r=YWZA3N5Y6T03477RTTET&qid=1695188827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-2-517d4988-76e4-4a45-96c1-e9f46edd7a85,4.9 out of 5 stars,False
B01G8UOJQQ,"Northwest Harry Potter Micro Raschel, 46"" x 60"", To Hogwarts",$24.95,$19.14,https://m.media-amazon.com/images/I/91GRB9-w+HL._AC_UL320_.jpg,True,/Harry-Potter-Hogwarts-Raschel-Blanket/dp/B01G8UOJQQ/ref=sxin_14_recs_zoco_bs?content-id=amzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7%3Aamzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7&cv_ct_cx=harry+potter&keywords=harry+potter&pd_rd_i=B01G8UOJQQ&pd_rd_r=6c95d899-74d1-4cc2-9b73-a45c48ea38f4&pd_rd_w=3gOLt&pd_rd_wg=xRC4o&pf_rd_p=6026a306-5198-4a2b-abec-e28b08c02cb7&pf_rd_r=YWZA3N5Y6T03477RTTET&qid=1695188827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-3-517d4988-76e4-4a45-96c1-e9f46edd7a85,4.7 out of 5 stars,False
B01689UBD2,"Tervis Harry Potter The Marauder's Map Made in USA Double Walled Insulated Tumbler Travel Cup Keeps Drinks Cold & Hot, 24oz, Classic",,$21.99,https://m.media-amazon.com/images/I/71os0egqwQL._AC_UL320_.jpg,True,/Tervis-1202240-Harry-Potter-Marauders/dp/B01689UBD2/ref=sxin_14_recs_zoco_bs?content-id=amzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7%3Aamzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7&cv_ct_cx=harry+potter&keywords=harry+potter&pd_rd_i=B01689UBD2&pd_rd_r=6c95d899-74d1-4cc2-9b73-a45c48ea38f4&pd_rd_w=3gOLt&pd_rd_wg=xRC4o&pf_rd_p=6026a306-5198-4a2b-abec-e28b08c02cb7&pf_rd_r=YWZA3N5Y6T03477RTTET&qid=1695188827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-4-517d4988-76e4-4a45-96c1-e9f46edd7a85,4.8 out of 5 stars,False
B01KTY8QR0,Ata-Boy Harry Potter Slytherin Crest Car and Fridge Magnet 3'' Round,,$5.99,https://m.media-amazon.com/images/I/71v+lY4reKL._AC_UL320_.jpg,True,/Ata-Boy-Die-Cut-Slytherin-Refrigerators-Lockers/dp/B01KTY8QR0/ref=sxin_14_recs_zoco_bs?content-id=amzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7%3Aamzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7&cv_ct_cx=harry+potter&keywords=harry+potter&pd_rd_i=B01KTY8QR0&pd_rd_r=6c95d899-74d1-4cc2-9b73-a45c48ea38f4&pd_rd_w=3gOLt&pd_rd_wg=xRC4o&pf_rd_p=6026a306-5198-4a2b-abec-e28b08c02cb7&pf_rd_r=YWZA3N5Y6T03477RTTET&qid=1695188827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-5-517d4988-76e4-4a45-96c1-e9f46edd7a85,4.7 out of 5 stars,False
1438884249,2022 Harry Potter Collector's Edition Calendar,,$28.62,https://m.media-amazon.com/images/I/81kghemSi0L._AC_UL320_.jpg,True,/2022-Harry-Potter-Collectors-Calendar/dp/1438884249/ref=sxin_14_recs_zoco_bs?content-id=amzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7%3Aamzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7&cv_ct_cx=harry+potter&keywords=harry+potter&pd_rd_i=1438884249&pd_rd_r=6c95d899-74d1-4cc2-9b73-a45c48ea38f4&pd_rd_w=3gOLt&pd_rd_wg=xRC4o&pf_rd_p=6026a306-5198-4a2b-abec-e28b08c02cb7&pf_rd_r=YWZA3N5Y6T03477RTTET&qid=1695188827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-6-517d4988-76e4-4a45-96c1-e9f46edd7a85,4.8 out of 5 stars,False
0545162076,Harry Potter Paperback Box Set (Books 1-7),$100.00,$45.02,https://m.media-amazon.com/images/I/51v0gkGIaKL._AC_UY218_.jpg,True,/Harry-Potter-Paperback-Box-Books/dp/0545162076/ref=sr_1_6?keywords=harry+potter&qid=1695188827&sr=8-6,4.9 out of 5 stars,False
B09XSSS3TJ,"LEGO Harry Potter 12 Grimmauld Place 76408 Building Toy Set for Kids, Girls, and Boys Ages 8+ (1,083 Pieces)",,,https://m.media-amazon.com/images/I/81P8Ae0DiHL._AC_UY218_.jpg,True,/sspa/click?ie=UTF8&spc=MToxNjY1NjkzMzY2NDg5NjI3OjE2OTUxODg4Mjc6c3BfbXRmOjIwMDE0MzA4ODQ0ODA5ODo6MDo6&url=%2FLEGO-Potter-Grimmauld-Building-Pieces%2Fdp%2FB09XSSS3TJ%2Fref%3Dsr_1_7_sspa%3Fkeywords%3Dharry%2Bpotter%26qid%3D1695188827%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.9 out of 5 stars,True
B002DQDV6Y,Harry Potter and the Chamber of Secrets,,$3.99,https://m.media-amazon.com/images/I/71i3JAvDIhL._AC_UY218_.jpg,False,/Potter-Chamber-Secrets-Daniel-Radcliffe/dp/B002DQDV6Y/ref=sr_1_8?keywords=harry+potter&qid=1695188827&sr=8-8,4.8 out of 5 stars,False
B001YEYWB4,Harry Potter and the Goblet of Fire,,$3.99,https://m.media-amazon.com/images/I/91OlfLbn43L._AC_UY218_.jpg,False,/Harry-Potter-Goblet-Daniel-Radcliffe/dp/B001YEYWB4/ref=sr_1_9?keywords=harry+potter&qid=1695188827&sr=8-9,4.9 out of 5 stars,False
B0094M2YL8,Harry Potter and the Order of the Phoenix,,$3.99,https://m.media-amazon.com/images/I/81GD6iBObuL._AC_UY218_.jpg,False,/Harry-Potter-Phoenix-Daniel-Radcliffe/dp/B0094M2YL8/ref=sr_1_10?keywords=harry+potter&qid=1695188827&sr=8-10,4.9 out of 5 stars,False
B09YTCDGYJ,Hallmark Harry Potter Dobby Christmas Ornament,$9.99,$9.48,https://m.media-amazon.com/images/I/61wPX2hLF3L._AC_UY218_.jpg,True,/Hallmark-Harry-Potter-Christmas-Ornament/dp/B09YTCDGYJ/ref=sr_1_11?keywords=harry+potter&qid=1695188827&sr=8-11,4.9 out of 5 stars,False
B09XWP2ZXD,"LEGO Harry Potter Hogwarts Carriage & Thestrals Set 76400, Building Toy for Kids 7 Plus Years Old with 2 Winged Horse Figures and Luna Lovegood Minifigure",$19.99,$15.99,https://m.media-amazon.com/images/I/81eDG9Y893L._AC_UY218_.jpg,True,/sspa/click?ie=UTF8&spc=MToxNjY1NjkzMzY2NDg5NjI3OjE2OTUxODg4Mjc6c3BfbXRmOjIwMDE0MzE0NjQ5MTE5ODo6MDo6&url=%2FLEGO-Hogwarts-Carriage-Thestrals-Featuring%2Fdp%2FB09XWP2ZXD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dharry%2Bpotter%26qid%3D1695188827%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.9 out of 5 stars,True
B0091X4EYK,Harry Potter And The Half-Blood Prince,,$3.99,https://m.media-amazon.com/images/I/91J3qHqSKjL._AC_UY218_.jpg,False,/Harry-Potter-Half-Blood-Prince/dp/B0091X4EYK/ref=sr_1_13?keywords=harry+potter&qid=1695188827&sr=8-13,4.9 out of 5 stars,False
B0BHKR7Y8G,Harry Potter womens Crossbody Bag Hogwarts Gryffindor All Over Print Passport Travel,,$19.99,https://m.media-amazon.com/images/I/91tSoqi9t2L._AC_UY218_.jpg,True,/Harry-Potter-Crossbody-Hogwarts-Gryffindor/dp/B0BHKR7Y8G/ref=sr_1_14?keywords=harry+potter&qid=1695188827&sr=8-14,4.5 out of 5 stars,False
B005UG53NS,Harry Potter and the Deathly Hallows - Part 2,,$3.99,https://m.media-amazon.com/images/I/91E5C0VE0xL._AC_UY218_.jpg,False,/Harry-Potter-Deathly-Hallows-Part/dp/B005UG53NS/ref=sr_1_15?keywords=harry+potter&qid=1695188827&sr=8-15,4.9 out of 5 stars,False
B009JZXA0O,Harry Potter And The Deathly Hallows - Part 1,,$3.99,https://m.media-amazon.com/images/I/91y86IPoajL._AC_UY218_.jpg,False,/Harry-Potter-Deathly-Hallows-Part/dp/B009JZXA0O/ref=sr_1_16?keywords=harry+potter&qid=1695188827&sr=8-16,4.8 out of 5 stars,False
B0BPPFZL7G,HighSpark Time Turner Necklace Wizardry Falcon Horcrux Hourglass Pendant,,$19.99,https://m.media-amazon.com/images/I/615qnqDi3wL._AC_UY218_.jpg,True,/sspa/click?ie=UTF8&spc=MToxNjY1NjkzMzY2NDg5NjI3OjE2OTUxODg4Mjc6c3BfbXRmOjIwMDEyMDkwNTAzNzA5ODo6MDo6&url=%2FHighSpark-Necklace-Wizardry-Horcrux-Hourglass%2Fdp%2FB0BPPFZL7G%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dharry%2Bpotter%26qid%3D1695188827%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.3 out of 5 stars,True
B017V4IMVQ,"Harry Potter and the Sorcerer's Stone, Book 1",$29.99,$0.00,https://m.media-amazon.com/images/I/91eopoUCjLL._AC_UY218_.jpg,True,/gp/bestsellers/audible/18572505011/ref=sr_bs_17_18572505011_1,4.8 out of 5 stars,False
B08534QJ7C,"Self-Inking Harry Potter Stampers, Set of 12 – Harry Potter Gifts, Collectables, Party Decor, Cake Toppers – Lucius Malfoy, Hermione Granger, Neville Longbottom and More by PMI, 2.5 in. Tall",$29.99,$20.99,https://m.media-amazon.com/images/I/81WRn8zaF-L._AC_UY218_.jpg,True,/Self-Inking-Harry-Potter-Stampers-Set/dp/B08534QJ7C/ref=sr_1_19?keywords=harry+potter&qid=1695188827&sr=8-19,4.7 out of 5 stars,False
B00AUOLIO8,Harry Potter and the Sorcerer's Stone (Extended Version),,$3.99,https://m.media-amazon.com/images/I/912Q8pxYCUL._AC_UY218_.jpg,False,/Harry-Potter-Sorcerers-Extended-Version/dp/B00AUOLIO8/ref=sr_1_20?keywords=harry+potter&qid=1695188827&sr=8-20,4.8 out of 5 stars,False
B09SVX7G3B,Harry Potter 20th Anniversary: Return to Hogwarts,,$3.99,https://m.media-amazon.com/images/I/91yLytZdh1L._AC_UY218_.jpg,False,/Harry-Potter-20th-Anniversary-Hogwarts/dp/B09SVX7G3B/ref=sr_1_21?keywords=harry+potter&qid=1695188827&sr=8-21,4.9 out of 5 stars,False
B0BB7GSM7C,"Hedwig Owl Night Light, Potter Gifts for Kids, Christmas Niglt Light for Harry Fans (Hedwig)",,$17.97,https://m.media-amazon.com/images/I/81zg13L6ThL._AC_UY218_.jpg,True,/sspa/click?ie=UTF8&spc=MToxNjY1NjkzMzY2NDg5NjI3OjE2OTUxODg4Mjc6c3BfYnRmOjMwMDA1MDYzNTU5MzUwMjo6MDo6&url=%2FHedwig-Night-Light-Potter-Christmas%2Fdp%2FB0BB7GSM7C%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dharry%2Bpotter%26qid%3D1695188827%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,4.8 out of 5 stars,True
